Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Camptothecin","1003","HCC1954","749709","BRCA","breast","breast",".31988826359699402",".98325375630446621",".10000000000000001",".082829009646686255","1.4015088490085721","GDSC2"
"Camptothecin","1003","HCC1143","749710","BRCA","breast","breast",".63891448845612364",".96903401865353289",".10000000000000001",".077198162141026455","1.5749873330048774","GDSC2"
"Camptothecin","1003","HCC1187","749711","BRCA","breast","breast","1.240640222339346",".99233507491956341",".10000000000000001",".079602149899137969","1.9021907412567196","GDSC2"
"Camptothecin","1003","HCC1395","749712","BRCA","breast","breast","-2.2554069278009332",".86113761277990597",".10000000000000001",".096760107320970429",".0011277178211278956","GDSC2"
"Camptothecin","1003","HCC1599","749713","BRCA","breast","breast","-3.2469137341342722",".76832788773818772",".10000000000000001",".11202050308699257","-.53802889135944121","GDSC2"
"Camptothecin","1003","HCC1937","749714","BRCA","breast","breast",".13490495451368523",".95533795525473297",".10000000000000001",".059843260184740135","1.3009195509389149","GDSC2"
"Camptothecin","1003","HCC2157","749715","BRCA","breast","breast","-2.6554486349795936",".87258039073416482",".10000000000000001",".15722544597991783","-.21640495971123444","GDSC2"
"Camptothecin","1003","HCC2218","749716","BRCA","breast","breast","1.0613001354041398",".99350475348630596",".10000000000000001",".16014216259086356","1.8046700862854141","GDSC2"
"Camptothecin","1003","HCC38","749717","BRCA","breast","breast","-1.6988506493403495",".88693558210226764",".10000000000000001",".090387064440511242",".30376910565249171","GDSC2"
"Camptothecin","1003","T47D","905945","BRCA","breast","breast","-1.3338543353932462",".92282994531232776",".10000000000000001",".080096610937490709",".50224497463706319","GDSC2"
"Camptothecin","1003","MCF7","905946","BRCA","breast","breast","-1.841466656570101",".87099972540839965",".10000000000000001",".10022576624260329",".22621808695881507","GDSC2"
"Camptothecin","1003","BT-549","905951","BRCA","breast","breast","-.84611845725955215",".91509998483084876",".10000000000000001",".071448814859647367",".76746354958839047","GDSC2"
"Camptothecin","1003","Hs-578-T","905957","BRCA","breast","breast","-.68466059963981385",".93877800137998013",".10000000000000001",".12118826255867449",".85526029539363413","GDSC2"
"Camptothecin","1003","MDA-MB-231","905960","BRCA","breast","breast","-2.1169995097572469",".884931100627248",".10000000000000001",".07864795511590679",".076390210948969819","GDSC2"
"Camptothecin","1003","BT-20","906801","BRCA","breast","breast","-2.46771733376618",".88353527033085721",".10000000000000001",".079946198677177102","-.1143213722333168","GDSC2"
"Camptothecin","1003","COLO-824","906812","BRCA","breast","breast","-.22070228364512426",".96220277338455618",".10000000000000001",".064711458936312458","1.1075492265991411","GDSC2"
"Camptothecin","1003","CAL-120","906826","BRCA","breast","breast","-.39764787842234878",".89366742358850837",".10000000000000001",".080256535161016287","1.0113306365903361","GDSC2"
"Camptothecin","1003","DU-4475","906844","BRCA","breast","breast","-4.3282139917957947",".69961037413672011",".10000000000000001",".097920068027000665","-1.1260129341344982","GDSC2"
"Camptothecin","1003","EFM-19","906851","BRCA","breast","breast",".22298670766943529",".96285982874153042",".10000000000000001",".087134741156517134","1.3488162058673412","GDSC2"
"Camptothecin","1003","EVSA-T","906862","BRCA","breast","breast","-.96811807585700249",".96666999062409731",".10000000000000001",".10536648222927998",".70112320753106094","GDSC2"
"Camptothecin","1003","HCC1419","907045","BRCA","breast","breast","1.133074984437727",".99127284737369092",".10000000000000001",".056642489480749146","1.843699454497725","GDSC2"
"Camptothecin","1003","HCC1569","907046","BRCA","breast","breast","-.34710487460473327",".95975551273251924",".10000000000000001",".10067381056523055","1.038814658265266","GDSC2"
"Camptothecin","1003","HCC70","907048","BRCA","breast","breast",".36382092076498285",".98315697615529873",".10000000000000001",".054680912031834984","1.4253983294636583","GDSC2"
"Camptothecin","1003","MDA-MB-175-VII","908120","BRCA","breast","breast","-1.1098825946648447",".86071228689935653",".10000000000000001",".11076234819313133",".62403520695020076","GDSC2"
"Camptothecin","1003","MDA-MB-361","908121","BRCA","breast","breast","-.99755569650400833",".95026961813137323",".10000000000000001",".080277096733432085",".68511576549536024","GDSC2"
"Camptothecin","1003","MDA-MB-453","908122","BRCA","breast","breast","-1.8753190373190185",".89432721081061894",".10000000000000001",".085249748154945973",".20781000876843722","GDSC2"
"Camptothecin","1003","MDA-MB-468","908123","BRCA","breast","breast","-2.5122998500678442",".84865175344951937",".10000000000000001",".10962492500491905","-.13856422983591166","GDSC2"
"Camptothecin","1003","MRK-nu-1","908151","BRCA","breast","breast","-2.4816726588987712",".8942239175126977",".10000000000000001",".12667505065200912","-.12190992909489291","GDSC2"
"Camptothecin","1003","OCUB-M","909256","BRCA","breast","breast","-2.2669501285770952",".89330262252620296",".10000000000000001",".14240147860206886","-.0051491861293162739","GDSC2"
"Camptothecin","1003","UACC-893","909778","BRCA","breast","breast","-.38199113760385162",".95791215577931754",".10000000000000001",".11246430243524592","1.0198443807589082","GDSC2"
"Camptothecin","1003","ZR-75-30","909907","BRCA","breast","breast","2.8369930623020041",".98238339406100583",".10000000000000001",".053004605458207184","2.7702474996696127","GDSC2"
"Camptothecin","1003","AU565","910704","BRCA","breast","breast","-2.8346750669654202",".83843412805796103",".10000000000000001",".1038846012527939","-.31386381196294888","GDSC2"
"Camptothecin","1003","CAL-85-1","910852","BRCA","breast","breast","-1.1531790108140874",".92952065784059568",".10000000000000001",".073527205636322687",".60049169845223838","GDSC2"
"Camptothecin","1003","UACC-812","910910","BRCA","breast","breast","-2.1302404222325984",".85675666182392363",".10000000000000001",".10474382187615858",".069190133826889932","GDSC2"
"Camptothecin","1003","CAL-51","910927","BRCA","breast","breast","-3.2899532711288519",".78093098835357011",".10000000000000001",".08800636864984554","-.56143271539622541","GDSC2"
"Camptothecin","1003","MFM-223","910948","BRCA","breast","breast","2.4592737984672266",".98044542469745133",".10000000000000001",".059493734711043175","2.5648532086667593","GDSC2"
"Camptothecin","1003","CAL-148","924106","BRCA","breast","breast","-4.4526503367466459",".66688747505648549",".10000000000000001",".11243954057608273","-1.1936783070537529","GDSC2"
"Camptothecin","1003","MDA-MB-415","924240","BRCA","breast","breast",".05020419079976645",".98184676646349944",".10000000000000001",".075760799256205991","1.2548613935291029","GDSC2"
"Camptothecin","1003","MDA-MB-157","925338","BRCA","breast","breast","-1.171441442538695",".93381229218113493",".10000000000000001",".11346503059824049",".59056104472284709","GDSC2"
"Camptothecin","1003","BT-474","946359","BRCA","breast","breast","3.5059584317352339",".99128468039067452",".10000000000000001",".04676538241063901","3.1340141404420101","GDSC2"
"Camptothecin","1003","CAMA-1","946382","BRCA","breast","breast","-.46904961423054353",".96544749060729007",".10000000000000001",".074297946742042223",".97250415802049484","GDSC2"
"Camptothecin","1003","BT-483","949093","BRCA","breast","breast","2.1754856555991835",".94997791843858848",".10000000000000001",".080138620934627425","2.4105363125475967","GDSC2"
"Camptothecin","1003","MDA-MB-436","1240172","BRCA","breast","breast","-1.2558092181497136",".90875436217351913",".10000000000000001",".073066773381770325",".54468395791720059","GDSC2"
"Camptothecin","1003","EFM-192A","1290798","BRCA","breast","breast","1.5599456590681215",".98725348010331504",".10000000000000001",".04174538155285152","2.0758210536861932","GDSC2"
"Camptothecin","1003","HCC1428","1290905","BRCA","breast","breast","1.5738055246348175",".96821480736044963",".10000000000000001",".080471369402212445","2.0833577020227514","GDSC2"
"Camptothecin","1003","HDQ-P1","1290922","BRCA","breast","breast","-1.3835793300658568",".91157050125894479",".10000000000000001",".092828634597650075",".47520576588130065","GDSC2"
"Camptothecin","1003","JIMT-1","1298157","BRCA","breast","breast","-1.1265932261600287",".94295016927579134",".10000000000000001",".063694334070804479",".61494838338362567","GDSC2"
"Camptothecin","1003","HCC1500","1303900","BRCA","breast","breast","-.46703584653731195",".9683685720874019",".10000000000000001",".07860220739905488",".97359919453887767","GDSC2"
